Timestamp,Pin0,Pin1,Pin2,Pin3,Pin4,Pin5
1683137425706886477,900,900,1000,1000,1000,1000
1683137425709509703,900,900,1000,1000,1000,1000
1683137425712132225,900,900,1000,1000,1000,1000
1683137425714756006,900,900,1000,1000,1000,1000
1683137425717380658,900,900,1000,1000,1000,1000
1683137425720006272,900,900,1000,1000,1000,1000
1683137425722629961,900,900,1000,1000,1000,1000
1683137425725252520,899,899,999,999,999,999
1683137425727870968,901,901,1000,1000,1000,1000
1683137425730488305,900,900,1000,1000,1000,1000
1683137425733105475,899,899,999,999,999,999
1683137425735727145,900,900,1001,1001,1001,1001
1683137425738443444,900,900,1000,1000,1000,1000
1683137425741069911,900,900,1000,1000,1000,1000
1683137425743687562,900,900,1001,1001,1001,1001
1683137425746301696,900,900,1000,1000,1000,1000
1683137425748910866,900,900,1000,1000,1000,1000
1683137425751519055,900,900,1000,1000,1000,1000
1683137425754129817,900,900,1000,1000,1000,1000
1683137425756744043,900,900,1000,1000,1000,1000
1683137425759358028,900,900,1000,1000,1000,1000
1683137425761972180,900,900,1000,1000,1000,1000
1683137425764584480,900,900,1000,1000,1000,1000
1683137425767196279,900,900,1000,1000,1000,1000
1683137425769808005,900,900,1000,1000,1000,1000
1683137425772421509,900,900,1000,1000,1000,1000
1683137425775033957,900,900,1000,1000,1000,1000
1683137425777646960,900,900,1000,1000,1000,1000
1683137425780259075,900,900,1000,1000,1000,1000
1683137425782871912,900,900,1000,1000,1000,1000
1683137425785484434,900,900,1000,1000,1000,1000
1683137425788092530,900,900,1000,1000,1000,1000
1683137425790700663,900,900,1000,1000,1000,1000
1683137425793309222,900,900,1000,1000,1000,1000
1683137425795922559,900,900,1000,1000,1000,1000
1683137425798536285,900,900,1000,1000,1000,1000
1683137425801148529,900,900,1000,1000,1000,1000
1683137425803761218,900,900,1000,1000,1000,1000
1683137425806373147,900,900,1000,1000,1000,1000
1683137425808981910,900,900,1000,1000,1000,1000
1683137425811590247,900,900,1000,1000,1000,1000
1683137425814201547,900,900,1000,1000,1000,1000
1683137425816815624,900,900,1000,1000,1000,1000
1683137425819427387,901,901,1000,1000,1000,1000
1683137425822038946,900,900,1000,1000,1000,1000
1683137425824650283,900,900,1000,1000,1000,1000
1683137425827261472,900,900,1000,1000,1000,1000
1683137425829876587,900,900,1000,1000,1000,1000
1683137425832494201,900,900,1000,1000,1000,1000
